id,cluster,project,code,title,description,site,room,gallery,documents,diagram,table_data,created_at,location
1,Trinity,Sabinas Project,MDF-0101,MDF-0101,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Admin Building,,,,,,
2,Trinity,Sabinas Project,IDF-Fiber Hut,IDF-Fiber Hut,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fiber Hut,,,,,,
3,Trinity,Sabinas Project,IDF-0301,IDF-0301,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,La Hacienda,,,,,,
4,Trinity,Sabinas Project,IDF-0401,IDF-0401,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Main Guard Shack,,,,,,
5,Trinity,Sabinas Project,IDF-0601,IDF-0601,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Engineering,,,,,,
6,Trinity,Sabinas Project,IDF-0903,IDF-0903,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
7,Trinity,Sabinas Project,IDF-0502,IDF-0502,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Shipping Warehouse,,,,,,
8,Trinity,Sabinas Project,IDF-0902,IDF-0902,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
9,Trinity,Sabinas Project,IDF-0906,IDF-0906,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
10,Trinity,Sabinas Project,IDF-2201,IDF-2201,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 1,,,,,,
11,Trinity,Sabinas Project,IDF-2202,IDF-2202,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 1,,,,,,
12,Trinity,Sabinas Project,IDF-2203,IDF-2203,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 1,,,,,,
13,Trinity,Sabinas Project,IDF-2204,IDF-2204,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 1,,,,,,
14,Trinity,Sabinas Project,IDF-1001,IDF-1001,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 2,,,,,,
15,Trinity,Sabinas Project,IDF-0801,IDF-0801,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,La Palapa,,,,,,
16,Trinity,Sabinas Project,IDF-2401,IDF-2401,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 4,,,,,,
17,Trinity,Sabinas Project,IDF-2402,IDF-2402,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 4,,,,,,
18,Trinity,Sabinas Project,IDF-2403,IDF-2403,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 4,,,,,,
19,Trinity,Sabinas Project,IDF-2404,IDF-2404,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 4,,,,,,
20,Trinity,Sabinas Project,IDF-1004,IDF-1004,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 2,"[{""url"":""/static/trk/trinity/images/IDF-1004_0.jpg"",""kind"":""image"",""name"":""dfo View""},{""url"":""/static/trk/trinity/images/IDF-1004-1.jpg"",""kind"":""image"",""name"":""dfo View 2""}]","[{""url"":""/static/trk/trinity/documents/IDF-1004_0.xlsx"",""kind"":""document"",""name"":""SW_Ports.xlsx""}]","[{""url"":""/static/trk/trinity/diagrams/diagram01.jpg"",""kind"":""diagram"",""name"":""Network Topology Diagram""},{""url"":""/static/trk/trinity/diagrams/diagram02.jpg"",""kind"":""diagram"",""name"":""Physical Layout Diagram""}]","{""url"":""/static/Trinity/sabinas/dfo/IDF-1004_dfo.png"",""kind"":""image"",""name"":""IDF-1004 DFO Layout""}",,"[{""url"":""/static/trk/trinity/location/IDF-1004.jpg"",""kind"":""image"",""name"":""Main Building Floor Plan""}]"
21,Trinity,Sabinas Project,IDF-1003,IDF-1003,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 2,,,,,,
22,Trinity,Sabinas Project,IDF-1002,IDF-1002,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 2,,,,,,
23,Trinity,Sabinas Project,IDF-1401,IDF-1401,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Warehouse,,,,,,
24,Trinity,Sabinas Project,IDF-0501,IDF-0501,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Materials Warehouse,,,,,,
25,Trinity,Sabinas Project,IDF-0701,IDF-0701,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Medical Center,,,,,,
26,Trinity,Sabinas Project,IDF-0901,IDF-0901,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
27,Trinity,Sabinas Project,IDF-0904,IDF-0904,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
28,Trinity,Sabinas Project,IDF-0905,IDF-0905,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
29,Trinity,Sabinas Project,IDF-1101,IDF-1101,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Logistis & Transportation,,,,,,
30,Trinity,Sabinas Project,IDF-9002,IDF-9002,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Mgmt Parking,,,,,,
31,Trinity,Sabinas Project,IDF-8002,IDF-8002,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Security Tower 2,,,,,,
32,Trinity,Sabinas Project,IDF-Fuel Pump,IDF-Fuel Pump,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fuel Pump,,,,,,
33,Trinity,Monclova Project,MDF-0101,MDF-0101,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,IT,,,,,,
34,Trinity,Monclova Project,IDF-0301,IDF-0301,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Admin Building,,,,,,
35,Trinity,Monclova Project,IDF-0401,IDF-0401,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,La Hacienda,,,,,,
36,Trinity,Monclova Project,IDF-0601,IDF-0601,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,DFT,,,,,,
37,Trinity,Monclova Project,IDF-0703,IDF-0703,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 11,,,,,,
38,Trinity,Monclova Project,IDF-0701,IDF-0701,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 15,,,,,,
39,Trinity,Monclova Project,IDF-0901,IDF-0901,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Wheels & Axles,,,,,,
40,Trinity,Monclova Project,IDF-1101,IDF-1101,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Paint Quality,,,,,,
41,Trinity,Monclova Project,IDF-1401,IDF-1401,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Central Maintenance,,,,,,
42,Trinity,Monclova Project,IDF-1701,IDF-1701,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 6 Kronos,,,,,,
43,Trinity,Monclova Project,IDF-1802,IDF-1802,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 8-9,,,,,,
44,Trinity,Monclova Project,IDF-1702,IDF-1702,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 6,,,,,,
45,Trinity,Monclova Project,IDF-1601,IDF-1601,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Transportes,,,,,,
46,Trinity,Monclova Project,IDF-1901,IDF-1901,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,CADT,,,,,,
47,Trinity,Monclova Project,IDF-1704,IDF-1704,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 7,,,,,,
48,Trinity,Monclova Project,IDF-1803,IDF-1803,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 8-9,,,,,,
49,Trinity,Monclova Project,IDF-1501,IDF-1501,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Heat Treat/Ovens,,,,,,
50,Trinity,Monclova Project,IDF-1001,IDF-1001,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Linings,,,,,,
51,Trinity,Monclova Project,IDF-1301,IDF-1301,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Materials Offices,,,,,,
52,Trinity,Monclova Project,IDF-0201,IDF-0201,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,X-Ray,,,,,,
53,Trinity,Monclova Project,IDF-0704,IDF-0704,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 14,,,,,,
54,Trinity,Monclova Project,IDF-0702,IDF-0702,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 11,,,,,,
55,Trinity,Monclova Project,IDF-0801,IDF-0801,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 21,,,,,,
56,Trinity,Monclova Project,IDF-0902,IDF-0902,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Wheels & Axles,,,,,,
57,Trinity,Monclova Project,IDF-1106,IDF-1106,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Paint Shop,,,,,,
58,Trinity,Monclova Project,IDF-1105,IDF-1105,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Paint Shop,,,,,,
59,Trinity,Monclova Project,IDF-9001,IDF-9001,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Gate 7,,,,,,
60,Trinity,Monclova Project,IDF-1201,IDF-1201,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,La Palapa,,,,,,
61,Trinity,Monclova Project,IDF-0501,IDF-0501,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Security/Garage,,,,,,
62,Trinity,Monclova Project,IDF-1102,IDF-1102,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Paint Shop,,,,,,
63,Trinity,Monclova Project,IDF-1801,IDF-1801,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 8-9,,,,,,
64,Trinity,Monclova Project,IDF-1703,IDF-1703,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 6,,,,,,
65,Trinity,Monclova Project,IDF-0705,IDF-0705,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 13,,,,,,
66,Trinity,Monclova Project,IDF-0706,IDF-0706,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Bay 14,,,,,,
67,Trinity,Monclova Project,IDF-1103,IDF-1103,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Paint Shop,,,,,,
68,Trinity,Monclova Project,IDF-1104,IDF-1104,Primary IDF supporting the administrative office areas for the Trinity – Monclova project.,Monclova,Paint Shop,,,,,,
